Job Class,Percentage
Management,6.1,https://www.indeed.com/
Business and Financial operations,5,https://www.indeed.com/
Computer and Mathematical,2.7,https://www.indeed.com/
Architecture and Engineering,1.7,https://www.indeed.com/
"Life, Physical and Social Science",0.9,https://www.indeed.com/
Community and Social Service,1.6,https://www.indeed.com/
Legal,0.8,https://www.indeed.com/
"Education, training and library",6.1,https://www.indeed.com/
"Arts, design, entertainment, sports and media",1.7,https://www.indeed.com/
Healthcare practioners and technical,5.5,https://www.indeed.com/
Healthcare support,2.8,https://www.indeed.com/
Protective service,2.3,https://www.indeed.com/
Food preparation and serving,8.3,https://www.indeed.com/
Building and grounds cleaning and maintenance,3.7,https://www.indeed.com/
Personal care and service,4,https://www.indeed.com/
Sales,10.2,https://www.indeed.com/
Office and administrative support,15.1,https://www.indeed.com/
"Farming, fishing and forestry",0.6,https://www.indeed.com/
Construction and extraction,4.3,https://www.indeed.com/
"Installation, maintenance and repair",3.8,https://www.indeed.com/
Production,6.1,https://www.indeed.com/
Transportation and material moving,6.5,https://www.indeed.com/
Total,99.8,https://www.indeed.com/

